90|Light, Biology and Happiness|My project aims to explore the conflicting demands between our increasingly indoor-based lifestyle and our innate biological connection to nature, with a focus on using light to improve physical and mental wellbeing.|April 24, 2012|Lisa Gabel|ColaLife|http://www.hcdconnect.org/profiles/lisagabel/|Melbourne, Victoria, Australia|Environment;Energy;Education;Health
91|Adventures in Prototyping|IDEO.org Fellow Liz Ogbu tells the story of how the Kenya water kiosk team used rapid prototyping on the ground in Nairobi tounderstand what the ingredients of a successful water, hygiene, and nutrition business might be.|April 25, 2012|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|Nairobi, Kenya|Water;Health
92|Prototyping a Business|While still in Nairobi, and building on learnings from their first prototype, Robin Bigio and his IDEO.org team set out to determine how the business model they're designing might really work. Along the way, they sell products door-to-door and from a functioning kiosk rented for the day.|May 03, 2012|Robin Bigio|IDEO.org|http://www.hcdconnect.org/profiles/robin/|Nairobi, Kenya|Water;Health
93|Synthesizing Toward a Disruptive New Model for Education in the United States|IDEO.org Fellow Marika Shioiri-Clark and her team synthesize findings from their field research in Los Angeles on the topic of student motivation and what it might take to succeed in school.|May 03, 2012|Marika Shioiri-Clark|SOSHL Studio|http://www.hcdconnect.org/profiles/marika/|San Francisco, CA|Education
94|Defining Young Women's Leadership in the Pacific|How the Human Centred Design process was used to develop a strategic framework for young women's leadership in the Pacific region.|May 04, 2012|Kiri Dicker|Think Out Loud Consulting|http://www.hcdconnect.org/profiles/kiri-dicker/|Papua New Guinea|Community Development;Gender Equity
95|Learning Fast and Evolving Ideas|IDEO.org Co-Lead Patrice Martin reflects on the continuing power of the prototyping process while designing for savings in Mexico City.|May 05, 2012|Patrice Martin|IDEO.org|http://www.hcdconnect.org/profiles/Patrice/|Mexico|Financial Services
96|Looking for input on an the early stages of an interactive design tool|We are creating an interactive tool to identify design opportunity for human development.|May 07, 2012|Rachel Kuhr|SUTD - MIT International Design Center|http://www.hcdconnect.org/profiles/rachel-kuhr/|Turkey|Environment;Water;Health;Community Development;Energy;Agriculture
97|Planning an HCD field visit|"Being prepared is half the victory - so the saying goes - but nothing could be more important than a good plan to get the most out of your field visit. As the ""client' for a HCD project and with local office support, there's a few things you can do before hand to make sure the research team gets the most out of their visit."|May 07, 2012|Andy Narracott|Water and Sanitation for the Urban Poor|http://www.hcdconnect.org/profiles/andy-narracott/|Gauteng, South Africa|Water;Health
98|Field Research: A Summary|A summary of my research process and findings in the field.|May 14, 2012|Adam Dunn|North Carolina State University|http://www.hcdconnect.org/profiles/adam-dunn/|Bong County, Liberia|Water;Community Development;Energy;Health;Agriculture
99|Illuminating the future: Lighting for Health and safety|We started our research based on IDEO toolkit, HCD, for the first step we wanted to listen and hear to the target users. At AlmaVia San Francisco we interviewed elderly people older than 70 years old in three different sessions. The second interview happened in an affordable- assisted housing in Berkeley. The interviewees were one couple and a single lady over their 70s. The third interview took place in University Neighborhood Apartment in Berkeley. It was an assisted- affordable housing. The interviewees were People with certain disabilities.|May 16, 2012|sima Tawa|North Carolina State University|http://www.hcdconnect.org/profiles/sima-tawa/|Berkeley, CA|Environment;Community Development;Energy;Water;Education
100|Illuminating the future: Lighting for Health and Safety|For many older adults, losing the ability to see well means losing independence. Light is essential to sight. Sight is essential to independence.|May 17, 2012|sima Tawa|North Carolina State University|http://www.hcdconnect.org/profiles/sima-tawa/|Berkeley, CA|Environment;Education;Health
101|New Opportunities in Kenya|IDEO.org Fellow Adam Reineck and his IDEO.org team kick off a project in Kenya designing new opportunities for a company that equips low-income young people with digital skills and education opportunities leading to longterm employment.|May 22, 2012|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Nairobi, Kenya|Community Development;Education
102|Hearing what seniors think about shoes, orthotics, walking, the prevention of falling and related mobility issues.|Our graduate seminar Aging in Place at SF State focuses on inclusive design. I started this project with an interest in shoes, shoe ergonomics, balance issues, walking, falling, and fall prevention. My final project looked at problems around shoes, orthotics, and how technology and design could help change the user experience for the better.|May 22, 2012|Zsofia Gutvill|San Francisco State University|http://www.hcdconnect.org/profiles/zeg/|Berkeley, CA|Gender Equity;Health
103|A Safer Cooking Experience for Seniors.|How can we prevent accidental burning on old electric stoves?|May 22, 2012|Kayvan Mojtahedzadeh|SFSU-DAI department|http://www.hcdconnect.org/profiles/k1mj/|San Francisco, CA|Education;Health
104|Improving the Cooking Expereince for the Elderly|Facilitating pouring and straining experience for the elderly|May 22, 2012|Elnaz Davoudi|SFSU-DAI department|http://www.hcdconnect.org/profiles/Elnaz-Davoudi/|Jamaica|Community Development
105|They Go Hand in Hand: Consumer Insights and Business Models|As part of the Kenya water and health project, IDEO.org Fellow Emily Friedberg asks the question: what does business design really mean?|May 23, 2012|Emily Friedberg|IDEO.org|http://www.hcdconnect.org/profiles/emily/|Nairobi, Kenya|Water;Health
106|IDDS- International Development Design Summit - Outstanding opportunity to HCD facilitators!|The International Development Design Summit (IDDS)began with the vision of creating a global community of innovators committed to improving the lives of people living in poverty through collaborative technology design. This vision has grown with each of five annual intensivedesign summits held thus far at the Massachusetts Institute of Technology (MIT) in 2007 and2008, Colorado State University (CSU) in 2010, and Kwame Nkrumah University of Scienceand Technology (KNUST) in Ghana in 2009 and 2011.|May 24, 2012|Thiago Alves de Souza|McGill University|http://www.hcdconnect.org/profiles/thiagohc/|Madre de Dios, Peru|Environment;Gender Equity;Energy;Water;Community Development;Health;Financial Services;Education;Agriculture
107|A Benchmark for the Aging Community|A series of parklets, each as a way-finding benchmark, to promote outdoor and social interaction for the aging community along Brotherhood Way in San Francisco, CA.|May 24, 2012|Todd Wilkinson|San Francisco State University|http://www.hcdconnect.org/profiles/Todd/|Jamaica|Community Development
108|An Interactive/Recreative Exercise Experience for the Physical Engagement of the Elderly Lifespace|Keeping a healthy body is the first step to having a high quality of life! This project is about designing a recreative exercise for people to have a better exercise experience.|May 30, 2012|Vicki Fu|San Francisco State University|http://www.hcdconnect.org/profiles/VickiFu/|Berkeley, CA|Community Development;Health
109|Supporting Young Solomon Islanders to Become Active Citizens.|This is the story of my time in the Solomon Islands re-desiging Oxfam's youth program using the Human Centered Design process...I will be updating it as I go along so please feel free to add your comments and suggestions!|June 02, 2012|Kiri Dicker|Think Out Loud Consulting|http://www.hcdconnect.org/profiles/kiri-dicker/|Solomon Islands|Community Development
110|Off-grid cooling systems for dairy farmers|We are developing an off-grid cooling sysems for dairy farmers in India.|June 04, 2012|Jesse van de Zand|Think Out Loud Consulting|http://www.hcdconnect.org/profiles/jesse-van de zand/|Mumbai, Maharashtra, India|Agriculture
111|Financial Literacy Tools for Ultra Poor Tribal Women|Testing how safety nets can be coordinated with livelihoods to create pathways out of poverty|June 06, 2012|divakar ratnagiri|Think Out Loud Consulting|http://www.hcdconnect.org/profiles/divakar-ratnagiri/|Vijayawada, Andhra Pradesh, India|Community Development;Health;Financial Services;Gender Equity
112|Skills exchange between generations|Using the exchange of skills as a means to connect old and young people.|June 06, 2012|Pepijn Fens|TU/e Eindhoven|http://www.hcdconnect.org/profiles/100002008961892/|Wolverton, United Kingdom|Community Development
113|Improving farmers' income through agribusiness and financial services|The project supports access to; agribusiness services to improve smallholder incomes; and financial services to make investments in agriculture for sustained productivity and food security.|June 06, 2012|Edward Agaba|TechnoServe Inc./Uganda|http://www.hcdconnect.org/profiles/edward-agaba/|Gauteng, South Africa|Community Development;Agriculture;Financial Services;Gender Equity
114|Mobile climate secure farming|We have developed a mobile climate secure farm.|June 07, 2012|Tasman Murray|Hatch|http://www.hcdconnect.org/profiles/tasman-murray/|Solomon Islands|Water;Environment;Health;Community Development;Gender Equity;Education;Agriculture
115|What Would Tony Do?|IDEO.org Fellow Marika Shioiri-Clark describes a new IDEO.org flash project, working with a school in New Mexico to design ways to improve feedback loops between the school and the community.Download the project deliverable here.|June 07, 2012|Marika Shioiri-Clark|SOSHL Studio|http://www.hcdconnect.org/profiles/marika/|Berkeley, CA|Education
116|When the Design Challenge is the System Itself|At IDEO.org, we talk a lot about looking at the whole ecosystem when we tackle a problem. While this has consistently framed our understanding and engagement on various projects, our scope of work has often focused on just one piece of the puzzle. However, Kenya Water + Health is a project where the problem at hand was the system itself.|June 07, 2012|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|Nairobi, Kenya|Water;Health
